Zielobjekt,Baustein,Anforderung,Anforderungs-Typ,Umsetzungsgrad,Umsetzung,Richtlinie,Verantwortlicher
A017 Content Management System,APP.3.1 Webanwendungen,"APP.3.1.A9 Beschaffung, Entwicklung und Erweiterung von Webanwendungen",Standard,Ja,Es wird bei Beschaffung ein Anforderungskatalog erstellt. Anhand dessen werden Produkte verglichen und die beste Lösung ausgewählt. Eigenentwicklung von Webanwendungen findet nicht statt.,Sicherheitsrichtlinie Webanwendungen,"IT-Betrieb, Leiter Informationstechnik"
A017 Content Management System,APP.3.1 Webanwendungen,APP.3.1.A10 Test und Freigabe von Webanwendungen,Standard,Ja,"Anwendungen werden vor Einsatz immer ausführlich getestet. Erst nach erfolgreichem Test wird die Anwendung freigegeben. Sollten Fehler beim Test auftreten, werden dieses vor Übernahme in den Produktivbetrieb behoben.",Sicherheitsrichtlinie Webanwendungen,Leiter Informationstechnik
A017 Content Management System,APP.3.1 Webanwendungen,APP.3.1.A11 Sichere Anbindung von Hintergrundsystemen,Standard,Ja,Webanwendungen sind verschlüsselt mit Hintergrundsystemen verbunden. Hierzu werden fest definierte Schnittstellen genutzt. Nutzer müssen sich immer authentisiere. Zugriff auf die Hintergrundsysteme haben nur ausgewählte Mitarbeiter des IT-Betriebs. ,Sicherheitsrichtlinie Webanwendungen,
A017 Content Management System,APP.3.1 Webanwendungen,APP.3.1.A12 Sichere Konfiguration von Webanwendungen,Standard,Ja,"Nicht benötigte Ressourcen oder Funktionen werden wenn möglich abgeschaltet. Ist dies nicht möglich, wird der Zugriff unterbunden.",Sicherheitsrichtlinie Webanwendungen,"Leiter Informationstechnik, IT-Betrieb"
A017 Content Management System,APP.3.1 Webanwendungen,APP.3.1.A13 Restriktive Herausgabe sicherheitsrelevanter Informationen,Standard,Ja,"Es werden nur neutrale Fehlermeldungen ausgegeben. Zusätzlich ist sichergestellt, dass keine sicherheitsrelevanten Informationen preisgegeben werden. Nicht benötigte Daten werden regelmäßig gelöscht und der Zugriff auf die Daten ist stark beschränkt. Suchmaschinen können die Webanwendungen nicht auffinden, da diese nur intern genutzt werden. Die Webanwendungen dürfen nur aus dem internen Netzwerk administriert werden.",Sicherheitsrichtlinie Webanwendungen,"Leiter Informationstechnik, IT-Betrieb"
A017 Content Management System,APP.3.1 Webanwendungen,APP.3.1.A14 Schutz vertraulicher Daten,Standard,Ja,Vertrauliche Daten werden verschlüsselt gespeichert. Die Übertragung dieser Daten findet über eine Transportverschlüsselung mittels HTTPS statt. Für die Übertragung der Daten vom Client zum Server wird die POST-Methode des HTTP-Protokolls genutzt. ,Sicherheitsrichtlinie Webanwendungen,IT-Betrieb
A017 Content Management System,APP.3.1 Webanwendungen,APP.3.1.A15 Verifikation essenzieller änderungen,Standard,Ja,"Nach Änderungen sind die Benutzer durch die Anwendung verpflichtet, sich erneut zu verifizieren. Die Benutzer werden über Änderungen per E-Mail informiert.",Sicherheitsrichtlinie Webanwendungen,Benutzer
A017 Content Management System,APP.3.1 Webanwendungen,APP.3.1.A16 Umfassende Eingabevalidierung und Ausgabekodierung,Standard,Ja,"Die Webanwendungen sind so konfiguriert, dass alle Eingaben gefiltert werden. Werden Eingaben mit potentiellen Schadcode gefiltert, werden diese nicht ausgeführt. Über gefilterten potentiellen Schadcode wird automatisch ein Ticket im internen Ticketsystem erstellt.",Sicherheitsrichtlinie Webanwendungen,IT-Betrieb
A017 Content Management System,APP.3.1 Webanwendungen,APP.3.1.A17 Fehlerbehandlung,Standard,Ja,"Die Fehlermeldungen werden auf dem Server gespeichert. Sollte bei einer ausgeführten Aktion ein Fehler auftreten, wird die ausgeführte Aktion abgebrochen. Sollten in diesem Fall Ressourcen reserviert werden, werden diese nach Behebung des Fehlers wieder freigegeben.",Sicherheitsrichtlinie Webanwendungen,IT-Betrieb
A017 Content Management System,APP.3.1 Webanwendungen,APP.3.1.A18 Kontrolle der Protokollierungsdaten,Standard,Ja,Jede Webanwendung verfügt über bestimmte Konfigurationen für die Protokollierung. Diese sind im Systemmanagement dokumentiert. Die Protokolle werden regelmäßig ausgewertet und die Ergebnisse an den ISB übermittelt.,Sicherheitsrichtlinie Webanwendungen,"IT-Betrieb, Informationssicherheitsbeauftragter"
A017 Content Management System,APP.3.1 Webanwendungen,APP.3.1.A19 Schutz vor SQL-Injection,Standard,Ja,Die Webanwendungen filtern alle Eingaben vor dem Ausführen. Die RECPLAST GmbH setzt Stored Procedures ein. Alle anderen SQL-Eingaben werden von der Anwendung abgelehnt.,Sicherheitsrichtlinie Webanwendungen,IT-Betrieb
A017 Content Management System,APP.3.1 Webanwendungen,APP.3.1.A20 Einsatz von Web Application Firewalls,Erhöht,Entbehrlich,Es gibt keine Web Application Firewall.,,IT-Betrieb
A017 Content Management System,APP.3.1 Webanwendungen,APP.3.1.A21 Sichere HTTP-Konfiguration bei Webanwendungen,Standard,Ja,Die X-Frame-Option wird bei der RECPLAST GmbH als sameorigin genutzt. Zum Schutz vor Cross-site-scripting wird eine HTTP content-security-policy genutzt.,Sicherheitsrichtlinie Webanwendungen,IT-Betrieb
A017 Content Management System,APP.3.1 Webanwendungen,APP.3.1.A22 überprüfung von Webanwendungen,Standard,Ja,Die eingesetzten Webanwendungen werden regelmäßig auf Sicherheitsprobleme überprüft. Die Ergebnisse werden dokumentiert und dem ISB vorgelegt. Bei Abweichungen werden diese priorisiert und behoben.,Sicherheitsrichtlinie Webanwendungen,"IT-Betrieb, Informationssicherheitsbeauftragter"
A017 Content Management System,APP.3.1 Webanwendungen,APP.3.1.A23 Verhinderung von Cross-Site Request Forgery,Standard,Ja,Beabsichtigte Seitenaufrufe und unbeabsichtigte weitergeleitete Befehle Dritter werden von den Anwendungen erkannt. Zusätzlich dazu wird das HTTP-Request Feld geprüft.,Sicherheitsrichtlinie Webanwendungen,IT-Betrieb
A017 Content Management System,APP.3.1 Webanwendungen,APP.3.1.A24 Verhinderung der Blockade von Ressourcen,Erhöht,Ja,"Die Firewall ist so konfiguriert, dass Anfragen, welche einer DoS-Attacke ähneln automatisch abgelehnt werden. ",Sicherheitsrichtlinie Webanwendungen,IT-Betrieb
A021 Internes Ticketsystem,APP.3.1 Webanwendungen,APP.3.1.A1 Authentisierung bei Webanwendungen,Basis,Ja,Die Benutzer müssen sich bei allen eingesetzten Webanwendungen authentisieren. Die Kennwörter werden verschlüsselt übertragen. Falls möglich wird die Anwendung mit dem AD verbunden. Sollte ein Mitarbeiter zusätzliche Administrationsrechte für die Anwendung haben ist eine erneute Authentisierung für die Adminrechte notwendig. Die fehlgeschlagenen Anmeldeversuche sind gemäß Passwort-Richtlinie konfiguriert.,Sicherheitsrichtlinie Webanwendungen,IT-Betrieb
A021 Internes Ticketsystem,APP.3.1 Webanwendungen,APP.3.1.A2 Zugriffskontrolle bei Webanwendungen,Basis,Ja,"Alle Webanwendungen verfügen über ein Berechtigungsschema. Falls möglich, wird dies mit dem AD verbunden. Die Rechte werden nach dem Need-to-know-Prinzip vergeben. Dokumentiert werden die Rechte im Berechtigungskonzept. Bei Ausscheiden oder Wechsel des Mitarbeiters werden die Rechte über die Checkliste entzogen. Die Autorisierung erfolgt vom AD oder von der Webanwendung auf einem zentralen Server. ",Sicherheitsrichtlinie Webanwendungen,IT-Betrieb
A021 Internes Ticketsystem,APP.3.1 Webanwendungen,APP.3.1.A3 Sicheres Session-Management,Basis,Ja,Jede Webanwendung erzeugt Session-Ids. Diese werden im Normalfall von der Anwendung selbst generiert. Die Session-ID wird verschlüsselt übertragen. Die Webanwendungen lassen sich vom Benutzer selbst beenden. Alle Sessions haben eine Gültigkeitsdauer. Inaktive Sitzungen werden automatsich ungültig.,Sicherheitsrichtlinie Webanwendungen,IT-Betrieb
A021 Internes Ticketsystem,APP.3.1 Webanwendungen,APP.3.1.A4 Kontrolliertes Einbinden von Daten und Inhalten bei Webanwendungen,Basis,Ja,"Upload-Funktionen einer Webanwendung werden deaktiviert. Falls nötig, können ausgewählte Mitarbeiter Daten hochladen. Die Daten können nur in einem vorgegebenen Pfad gespeichert werden. Der Pfad lässt sich nicht von den Benutzern ändern. Die Mitarbeiter bekommen eine Warnung, wenn eine Weiterleitung zu einer nicht vertrauenswürdigen Seite geplant ist.",Sicherheitsrichtlinie Webanwendungen,IT-Betrieb
A021 Internes Ticketsystem,APP.3.1 Webanwendungen,APP.3.1.A5 Protokollierung sicherheitsrelevanter Ereignisse von Webanwendungen,Basis,Ja,Alle sicherheitsrelevanten Ereignisse einer Webanwendung werden protokolliert. Zugriff auf die Protokolldaten haben nur autorisierte Mitarbeiter.,Sicherheitsrichtlinie Webanwendungen,"IT-Betrieb, Informationssicherheitsbeauftragter"
A021 Internes Ticketsystem,APP.3.1 Webanwendungen,APP.3.1.A6 Zeitnahes Einspielen sicherheitsrelevanter Patches und Updates,Basis,Ja,Die RECPLAST GmbH spielt Software-Updates immer zeitnah ein. Zuvor wird das Update auf Funktionalität getestet. Die Administratoren informieren sich über mögliche Schwachstellen und entwickeln entsprechende Maßnahmen. Das Patchlevel wird im Systemmanagement dokumentiert.,Sicherheitsrichtlinie Webanwendungen,"Administrator, IT-Betrieb"
A021 Internes Ticketsystem,APP.3.1 Webanwendungen,APP.3.1.A7 Schutz vor unerlaubter automatisierter Nutzung von Webanwendungen,Basis,Ja,Die automatisierte Nutzung von Webanwendungen wird von den Administratoren deaktiviert. ,Sicherheitsrichtlinie Webanwendungen,Administrator
A021 Internes Ticketsystem,APP.3.1 Webanwendungen,APP.3.1.A8 Systemarchitektur einer Webanwendung,Standard,Ja,Vor dem Einsatz einer Webanwendung wird die benötigte Systemarchitektur ermittelt.,Sicherheitsrichtlinie Webanwendungen,Administrator
A021 Internes Ticketsystem,APP.3.1 Webanwendungen,"APP.3.1.A9 Beschaffung, Entwicklung und Erweiterung von Webanwendungen",Standard,Ja,Es wird bei Beschaffung ein Anforderungskatalog erstellt. Anhand dessen werden Produkte verglichen und die beste Lösung ausgewählt. Eigenentwicklung von Webanwendungen findet nicht statt.,Sicherheitsrichtlinie Webanwendungen,"IT-Betrieb, Leiter Informationstechnik"
A021 Internes Ticketsystem,APP.3.1 Webanwendungen,APP.3.1.A10 Test und Freigabe von Webanwendungen,Standard,Ja,"Anwendungen werden vor Einsatz immer ausführlich getestet. Erst nach erfolgreichem Test wird die Anwendung freigegeben. Sollten Fehler beim Test auftreten, werden dieses vor Übernahme in den Produktivbetrieb behoben.",Sicherheitsrichtlinie Webanwendungen,Leiter Informationstechnik
A021 Internes Ticketsystem,APP.3.1 Webanwendungen,APP.3.1.A11 Sichere Anbindung von Hintergrundsystemen,Standard,Ja,Webanwendungen sind verschlüsselt mit Hintergrundsystemen verbunden. Hierzu werden fest definierte Schnittstellen genutzt. Nutzer müssen sich immer authentisiere. Zugriff auf die Hintergrundsysteme haben nur ausgewählte Mitarbeiter des IT-Betriebs. ,Sicherheitsrichtlinie Webanwendungen,
A021 Internes Ticketsystem,APP.3.1 Webanwendungen,APP.3.1.A12 Sichere Konfiguration von Webanwendungen,Standard,Ja,"Nicht benötigte Ressourcen oder Funktionen werden wenn möglich abgeschaltet. Ist dies nicht möglich, wird der Zugriff unterbunden.",Sicherheitsrichtlinie Webanwendungen,"Leiter Informationstechnik, IT-Betrieb"
A021 Internes Ticketsystem,APP.3.1 Webanwendungen,APP.3.1.A13 Restriktive Herausgabe sicherheitsrelevanter Informationen,Standard,Ja,"Es werden nur neutrale Fehlermeldungen ausgegeben. Zusätzlich ist sichergestellt, dass keine sicherheitsrelevanten Informationen preisgegeben werden. Nicht benötigte Daten werden regelmäßig gelöscht und der Zugriff auf die Daten ist stark beschränkt. Suchmaschinen können die Webanwendungen nicht auffinden, da diese nur intern genutzt werden. Die Webanwendungen dürfen nur aus dem internen Netzwerk administriert werden.",Sicherheitsrichtlinie Webanwendungen,"Leiter Informationstechnik, IT-Betrieb"
A021 Internes Ticketsystem,APP.3.1 Webanwendungen,APP.3.1.A14 Schutz vertraulicher Daten,Standard,Ja,Vertrauliche Daten werden verschlüsselt gespeichert. Die Übertragung dieser Daten findet über eine Transportverschlüsselung mittels HTTPS statt. Für die Übertragung der Daten vom Client zum Server wird die POST-Methode des HTTP-Protokolls genutzt. ,Sicherheitsrichtlinie Webanwendungen,IT-Betrieb
A021 Internes Ticketsystem,APP.3.1 Webanwendungen,APP.3.1.A15 Verifikation essenzieller änderungen,Standard,Ja,"Nach Änderungen sind die Benutzer durch die Anwendung verpflichtet, sich erneut zu verifizieren. Die Benutzer werden über Änderungen per E-Mail informiert.",Sicherheitsrichtlinie Webanwendungen,Benutzer
A021 Internes Ticketsystem,APP.3.1 Webanwendungen,APP.3.1.A16 Umfassende Eingabevalidierung und Ausgabekodierung,Standard,Ja,"Die Webanwendungen sind so konfiguriert, dass alle Eingaben gefiltert werden. Werden Eingaben mit potentiellen Schadcode gefiltert, werden diese nicht ausgeführt. Über gefilterten potentiellen Schadcode wird automatisch ein Ticket im internen Ticketsystem erstellt.",Sicherheitsrichtlinie Webanwendungen,IT-Betrieb
A021 Internes Ticketsystem,APP.3.1 Webanwendungen,APP.3.1.A17 Fehlerbehandlung,Standard,Ja,"Die Fehlermeldungen werden auf dem Server gespeichert. Sollte bei einer ausgeführten Aktion ein Fehler auftreten, wird die ausgeführte Aktion abgebrochen. Sollten in diesem Fall Ressourcen reserviert werden, werden diese nach Behebung des Fehlers wieder freigegeben.",Sicherheitsrichtlinie Webanwendungen,IT-Betrieb
A021 Internes Ticketsystem,APP.3.1 Webanwendungen,APP.3.1.A18 Kontrolle der Protokollierungsdaten,Standard,Ja,Jede Webanwendung verfügt über bestimmte Konfigurationen für die Protokollierung. Diese sind im Systemmanagement dokumentiert. Die Protokolle werden regelmäßig ausgewertet und die Ergebnisse an den ISB übermittelt.,Sicherheitsrichtlinie Webanwendungen,"IT-Betrieb, Informationssicherheitsbeauftragter"
A021 Internes Ticketsystem,APP.3.1 Webanwendungen,APP.3.1.A19 Schutz vor SQL-Injection,Standard,Ja,Die Webanwendungen filtern alle Eingaben vor dem Ausführen. Die RECPLAST GmbH setzt Stored Procedures ein. Alle anderen SQL-Eingaben werden von der Anwendung abgelehnt.,Sicherheitsrichtlinie Webanwendungen,IT-Betrieb
A021 Internes Ticketsystem,APP.3.1 Webanwendungen,APP.3.1.A20 Einsatz von Web Application Firewalls,Erhöht,Entbehrlich,Es gibt keine Web Application Firewall.,,IT-Betrieb
A021 Internes Ticketsystem,APP.3.1 Webanwendungen,APP.3.1.A21 Sichere HTTP-Konfiguration bei Webanwendungen,Standard,Ja,Die X-Frame-Option wird bei der RECPLAST GmbH als sameorigin genutzt. Zum Schutz vor Cross-site-scripting wird eine HTTP content-security-policy genutzt.,Sicherheitsrichtlinie Webanwendungen,IT-Betrieb
A021 Internes Ticketsystem,APP.3.1 Webanwendungen,APP.3.1.A22 überprüfung von Webanwendungen,Standard,Ja,Die eingesetzten Webanwendungen werden regelmäßig auf Sicherheitsprobleme überprüft. Die Ergebnisse werden dokumentiert und dem ISB vorgelegt. Bei Abweichungen werden diese priorisiert und behoben.,Sicherheitsrichtlinie Webanwendungen,"IT-Betrieb, Informationssicherheitsbeauftragter"
A021 Internes Ticketsystem,APP.3.1 Webanwendungen,APP.3.1.A23 Verhinderung von Cross-Site Request Forgery,Standard,Ja,Beabsichtigte Seitenaufrufe und unbeabsichtigte weitergeleitete Befehle Dritter werden von den Anwendungen erkannt. Zusätzlich dazu wird das HTTP-Request Feld geprüft.,Sicherheitsrichtlinie Webanwendungen,IT-Betrieb
A021 Internes Ticketsystem,APP.3.1 Webanwendungen,APP.3.1.A24 Verhinderung der Blockade von Ressourcen,Erhöht,Ja,"Die Firewall ist so konfiguriert, dass Anfragen, welche einer DoS-Attacke ähneln automatisch abgelehnt werden. ",Sicherheitsrichtlinie Webanwendungen,IT-Betrieb
A022 Internes Wiki,APP.3.1 Webanwendungen,APP.3.1.A1 Authentisierung bei Webanwendungen,Basis,Ja,Die Benutzer müssen sich bei allen eingesetzten Webanwendungen authentisieren. Die Kennwörter werden verschlüsselt übertragen. Falls möglich wird die Anwendung mit dem AD verbunden. Sollte ein Mitarbeiter zusätzliche Administrationsrechte für die Anwendung haben ist eine erneute Authentisierung für die Adminrechte notwendig. Die fehlgeschlagenen Anmeldeversuche sind gemäß Passwort-Richtlinie konfiguriert.,Sicherheitsrichtlinie Webanwendungen,IT-Betrieb
A022 Internes Wiki,APP.3.1 Webanwendungen,APP.3.1.A2 Zugriffskontrolle bei Webanwendungen,Basis,Ja,"Alle Webanwendungen verfügen über ein Berechtigungsschema. Falls möglich, wird dies mit dem AD verbunden. Die Rechte werden nach dem Need-to-know-Prinzip vergeben. Dokumentiert werden die Rechte im Berechtigungskonzept. Bei Ausscheiden oder Wechsel des Mitarbeiters werden die Rechte über die Checkliste entzogen. Die Autorisierung erfolgt vom AD oder von der Webanwendung auf einem zentralen Server. ",Sicherheitsrichtlinie Webanwendungen,IT-Betrieb
A022 Internes Wiki,APP.3.1 Webanwendungen,APP.3.1.A3 Sicheres Session-Management,Basis,Ja,Jede Webanwendung erzeugt Session-Ids. Diese werden im Normalfall von der Anwendung selbst generiert. Die Session-ID wird verschlüsselt übertragen. Die Webanwendungen lassen sich vom Benutzer selbst beenden. Alle Sessions haben eine Gültigkeitsdauer. Inaktive Sitzungen werden automatsich ungültig.,Sicherheitsrichtlinie Webanwendungen,IT-Betrieb
A022 Internes Wiki,APP.3.1 Webanwendungen,APP.3.1.A4 Kontrolliertes Einbinden von Daten und Inhalten bei Webanwendungen,Basis,Ja,"Upload-Funktionen einer Webanwendung werden deaktiviert. Falls nötig, können ausgewählte Mitarbeiter Daten hochladen. Die Daten können nur in einem vorgegebenen Pfad gespeichert werden. Der Pfad lässt sich nicht von den Benutzern ändern. Die Mitarbeiter bekommen eine Warnung, wenn eine Weiterleitung zu einer nicht vertrauenswürdigen Seite geplant ist.",Sicherheitsrichtlinie Webanwendungen,IT-Betrieb
A022 Internes Wiki,APP.3.1 Webanwendungen,APP.3.1.A5 Protokollierung sicherheitsrelevanter Ereignisse von Webanwendungen,Basis,Ja,Alle sicherheitsrelevanten Ereignisse einer Webanwendung werden protokolliert. Zugriff auf die Protokolldaten haben nur autorisierte Mitarbeiter.,Sicherheitsrichtlinie Webanwendungen,"IT-Betrieb, Informationssicherheitsbeauftragter"
A022 Internes Wiki,APP.3.1 Webanwendungen,APP.3.1.A6 Zeitnahes Einspielen sicherheitsrelevanter Patches und Updates,Basis,Ja,Die RECPLAST GmbH spielt Software-Updates immer zeitnah ein. Zuvor wird das Update auf Funktionalität getestet. Die Administratoren informieren sich über mögliche Schwachstellen und entwickeln entsprechende Maßnahmen. Das Patchlevel wird im Systemmanagement dokumentiert.,Sicherheitsrichtlinie Webanwendungen,"Administrator, IT-Betrieb"
